Location,Region,District,Street,Price,Price_sqm,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Kotayk, Proshyan, Gevorg Chaush dis",Kotayk, Proshyan, Gevorg Chaush dis,85000,71,5308.0,1200,5,1,1,Stone,3.0,Newly repaired,02.03.2018,02.03.2018,08.05.2022,40.2507786,44.419895,"5/2, Բարեկամության փողոց, Պռոշյան, Եղվարդի տարածաշրջան, Կոտայքի մարզ, 2413, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Eurowindows,Irondoor,Basement,Tile,Sunny,View,Roadside,Garage,Buildingexistence,Gate,Fence",https://myrealty.am/en/new-build-house-for-sale/Gevorg+Chaush+dis/Proshyan/Kotayk/53839,0,0,,,for sale,house,bars.am,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Arabkir, Hovsep Emin St",Yerevan, Arabkir, Hovsep Emin St,450000,1125,6327.0,400,7,4,4,Stone,3.2,Newly repaired,01.03.2018,19.01.2022,08.05.2022,40.2073362,44.4983902,"78, Հովսեփ Էմինի փողոց, Արաբկիր, Երևան, 0012, Հայաստան","Hotwater,Gas,Heating","Swimmingpool,Fireplace,Garage,Laminateflooring,Tile,Eurowindows,Storageroom,Basement",https://myrealty.am/en/house-for-sale/Hovsep+Emin+St/Arabkir/Yerevan/53710,0,0,,,for sale,house,myrealty.am,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"Yerevan, Nor Norq, Davit Bek",Yerevan, Nor Norq, Davit Bek,400000,160,9916.0,2500,5,2,4,Monolit,3.0,Newly repaired,21.02.2018,13.07.2021,08.05.2022,40.1661706,44.5445099,"97/21, Դավիթ Բեկի փողոց, Նոր Նորք, Երևան, 0092, Հայաստան","Water,water24/7,Electricity,Internet,Hotwater,Gas,Heating","Closetothebusstation,View,Sunny,Parquet,Tile,Eurowindows,Openbalcony,Equipment,Furniture",https://myrealty.am/en/new-build-house-for-sale/Davit+Bek/Nor+Norq/Yerevan/82838,0,0,,,for sale,house,myrealty.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
"Kotayk, Zovuni, Zovuni 1st St.",Kotayk, Zovuni, Zovuni 1st St.,220000,440,5969.0,500,7,1,2,Monolit,3.0,Newly repaired,04.02.2018,29.11.2021,08.05.2022,40.23259629,44.50341167,"Զովունի, Եղվարդի տարածաշրջան, Կոտայքի մարզ, 2406, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Centralheating,Gas,Water,water24/7","Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Storageroom,Tile,Laminateflooring,Sunny,Bilateral,Roadside,Closetothebusstation,Parking,Garage,Buildingexistence,Gate,Fence",https://myrealty.am/en/house-for-sale/Zovuni+1st+St./Zovuni/Kotayk/52071,0,0,,,for sale,house,myrealty.am,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0
"Yerevan, Center, Ostrovski St",Yerevan, Center, Ostrovski St,365000,456,4628.0,800,6,3,3,Stone,3.0,Good,02.02.2018,17.07.2021,08.05.2022,40.1792461,44.5095374,"2b, Զաքյան փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Storageroom,Tile,Parquet,Swimmingpool,Sunny,Bilateral,Garage,Playground,Park,Buildingexistence,Gate,Fence,Sauna",https://myrealty.am/en/house-for-sale/Ostrovski+St/Center/Yerevan/66535,0,0,,,for sale,house,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0
"Ararat, Masis, Norabats",Ararat, Masis, Norabats,45000,56,3197.0,800,3,1,1,Stone,3.0,Good,01.02.2018,02.03.2018,08.05.2022,40.0634518,44.4410909,"44, Արարատյան փողոց, Մասիս, Մասիսի տարածաշրջան, Արարատի մարզ, 0801, Հայաստան","Irrigation,Water,water24/7,Electricity,Internet,Hotwater,Gas","Irondoor,Gate,Parking,View,Sunny,Storageroom",https://myrealty.am/en/new-build-house-for-sale/Norabats/Masis/Ararat/51765,0,0,,,for sale,house,myrealty.am,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
"Yerevan, Erebuni, Nor Aresh 8 St",Yerevan, Erebuni, Nor Aresh 8 St,69500,154,9077.0,450,3,1,1,Stone,2.8,Good,30.01.2018,14.07.2021,08.05.2022,40.1449377,44.5116502,"8, Երկաթուղայինների 8-րդ փողոց, Էրեբունի, Երևան, 0041, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Openbalcony,Attic,Tile,Sunny,View,Garage,Park,Buildingexistence,Gate",https://myrealty.am/en/house-for-sale/Nor+Aresh+8+St/Erebuni/Yerevan/51569,0,0,,,for sale,house,bars.am,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
"Armavir, Paraqar, Paraqar",Armavir, Paraqar, Paraqar,50000,167,4958.0,300,3,2,1,Stone,3.0,Good,28.01.2018,28.01.2018,08.05.2022,40.1655083,44.4024829,"42, Նաիրի 2-րդ փողոց, Փարաքար, Վաղարշապատի տարածաշրջան, Արմավիրի մարզ, 1149, Հայաստան","Heating,Internet,Hotwater,Irrigation,Electricity,Gas,Water,water24/7","Heater,Eurowindows,Irondoor,Loggia,Openbalcony,Storageroom,Basement,Tile,Sunny,View,Bilateral,Parking,Buildingexistence,Gate,Fence",https://myrealty.am/en/new-build-house-for-sale/Paraqar/Paraqar/Armavir/51469,0,0,,,for sale,house,bars.am,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1
"Yerevan, Nor Norq, Galshoyan St",Yerevan, Nor Norq, Galshoyan St,105000,2100,10030.0,50,2,2,2,Stone,2.8,Newly repaired,26.01.2018,07.04.2021,08.05.2022,40.1822494,44.5665352,"50, Գալշոյան փողոց, Նոր Նորքի 5 Զանգված, Նոր Նորք, Երևան, 0079, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Centralheating,Gas,Water,water24/7","Furniture,Eurowindows,Irondoor,Basement,Parquet,Sunny,Roadside,Parking,Gate,Fence",https://myrealty.am/en/new-build-house-for-sale/Galshoyan+St/Nor+Norq/Yerevan/51340,0,0,,,for sale,house,bars.am,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
"Yerevan, Avan, Avan 3 St",Yerevan, Avan, Avan 3 St,1200000,2400,10737.0,500,5,3,3,Monolit,3.0,Newly repaired,25.01.2018,24.09.2021,08.05.2022,40.2143371,44.5646387,"18, Ավան 3-րդ փողոց, Ավան, Երևան, 0063, Հայաստան","Heating,Hotwater,Air-conditioner,Gas","Eurowindows,Openbalcony,Storageroom,Tile,Laminateflooring,Securitysystem,Gym,Swimmingpool,Fence,Sauna",https://myrealty.am/en/new-build-house-for-sale/Avan+3+St/Avan/Yerevan/51274,0,0,,,for sale,house,bars.am,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0
